Date,Price,Open,High,Low,Vol.,Change %
"Jan 01, 2015","2,058.95","2,051.65","2,059.15","2,051.65",-,0.31%
"Jan 02, 2015","2,046.25","2,055.00","2,067.25","2,038.75",1.36M,-0.62%
"Jan 05, 2015","2,016.00","2,045.75","2,048.25","2,009.50",2.03M,-1.48%
"Jan 06, 2015","1,994.50","2,019.00","2,023.50","1,984.25",2.35M,-1.07%
"Jan 07, 2015","2,019.50","1,996.50","2,023.75","1,995.75",1.76M,1.25%
"Jan 08, 2015","2,055.00","2,020.50","2,058.50","2,020.25",1.56M,1.76%
"Jan 09, 2015","2,035.25","2,053.75","2,062.00","2,031.25",1.91M,-0.96%
"Jan 12, 2015","2,022.50","2,034.50","2,048.25","2,015.25",1.62M,-0.63%
"Jan 13, 2015","2,016.00","2,023.75","2,051.75","2,001.00",2.50M,-0.32%
"Jan 14, 2015","2,007.50","2,017.25","2,019.50","1,981.25",2.52M,-0.42%
"Jan 15, 2015","1,989.00","2,009.75","2,027.25","1,978.25",2.26M,-0.92%
"Jan 16, 2015","2,013.00","1,980.75","2,014.25","1,970.25",2.02M,1.21%
"Jan 18, 2015","2,010.65","2,013.65","2,013.65","2,008.55",-,-0.12%
"Jan 19, 2015","2,009.95","2,010.45","2,023.65","2,003.15",-,-0.03%
"Jan 20, 2015","2,016.75","2,013.50","2,026.50","1,997.50",1.81M,0.34%
"Jan 21, 2015","2,026.50","2,015.75","2,032.75","2,005.25",1.64M,0.48%
"Jan 22, 2015","2,056.50","2,026.75","2,059.25","2,019.25",1.83M,1.48%
"Jan 23, 2015","2,044.00","2,056.50","2,062.50","2,042.25",1.35M,-0.61%
"Jan 26, 2015","2,053.50","2,035.00","2,055.00","2,025.50",1.26M,0.46%
"Jan 27, 2015","2,030.00","2,054.00","2,054.75","2,013.25",1.96M,-1.14%
"Jan 28, 2015","1,991.50","2,036.50","2,046.50","1,991.25",2.09M,-1.90%
"Jan 29, 2015","2,018.50","1,993.50","2,020.00","1,982.00",2.12M,1.36%
"Jan 30, 2015","1,988.50","2,019.25","2,020.50","1,986.25",2.35M,-1.49%
"Feb 02, 2015","2,017.00","1,990.50","2,018.50","1,973.75",2.04M,1.43%
"Feb 03, 2015","2,042.00","2,015.00","2,044.00","2,007.00",1.71M,1.24%
"Feb 04, 2015","2,030.00","2,040.50","2,049.25","2,022.75",1.70M,-0.59%
"Feb 05, 2015","2,055.00","2,025.00","2,058.75","2,020.75",1.34M,1.23%
"Feb 06, 2015","2,053.00","2,056.25","2,068.00","2,044.50",788.33K,-0.10%
"Feb 09, 2015","2,042.50","2,050.00","2,051.75","2,036.50",878.10K,-0.51%
"Feb 10, 2015","2,062.25","2,043.75","2,066.50","2,040.50",1.40M,0.97%
"Feb 11, 2015","2,065.75","2,062.75","2,079.50","2,053.25",1.30M,0.17%
"Feb 12, 2015","2,084.00","2,071.50","2,085.50","2,058.50",1.43M,0.88%
"Feb 13, 2015","2,093.50","2,083.00","2,095.00","2,081.50",1.22M,0.46%
"Feb 15, 2015","2,089.65","2,091.65","2,093.65","2,089.65",-,-0.18%
"Feb 16, 2015","2,084.15","2,089.45","2,093.65","2,081.65",-,-0.26%
"Feb 17, 2015","2,096.00","2,091.25","2,098.75","2,080.75",1.23M,0.57%
"Feb 18, 2015","2,095.50","2,096.50","2,098.50","2,088.50",1.09M,-0.02%
"Feb 19, 2015","2,095.25","2,095.25","2,099.50","2,087.25",1.14M,-0.01%
"Feb 20, 2015","2,107.00","2,096.00","2,108.75","2,082.25",1.65M,0.56%
"Feb 23, 2015","2,106.75","2,107.25","2,108.25","2,099.75",849.70K,-0.01%
"Feb 24, 2015","2,113.75","2,106.25","2,115.75","2,102.75",1.08M,0.33%
"Feb 25, 2015","2,110.25","2,113.75","2,117.75","2,107.25",974.71K,-0.17%
"Feb 26, 2015","2,110.00","2,110.50","2,114.75","2,101.50",1.18M,-0.01%
"Feb 27, 2015","2,102.75","2,109.50","2,111.00","2,100.75",1.21M,-0.34%
"Mar 02, 2015","2,114.00","2,104.00","2,115.50","2,100.50",1.08M,0.54%
"Mar 03, 2015","2,104.75","2,114.00","2,114.50","2,095.50",1.36M,-0.44%
"Mar 04, 2015","2,096.50","2,104.75","2,104.75","2,085.25",1.49M,-0.39%
"Mar 05, 2015","2,099.75","2,096.50","2,103.50","2,093.25",1.10M,0.16%
"Mar 06, 2015","2,070.75","2,099.50","2,103.50","2,065.50",1.90M,-1.38%
"Mar 09, 2015","2,077.75","2,073.50","2,082.50","2,066.00",1.19M,0.34%
"Mar 10, 2015","2,042.00","2,077.50","2,078.00","2,041.25",1.90M,-1.72%
"Mar 11, 2015","2,039.50","2,044.25","2,052.25","2,038.25",1.71M,-0.12%
"Mar 12, 2015","2,064.00","2,042.00","2,066.50","2,038.25",1.63M,1.20%
"Mar 13, 2015","2,049.75","2,064.25","2,068.75","2,040.00",1.21M,-0.69%
"Mar 16, 2015","2,076.50","2,050.75","2,081.75","2,044.50",946.44K,1.31%
"Mar 17, 2015","2,074.50","2,074.50","2,078.75","2,064.25",953.28K,-0.10%
"Mar 18, 2015","2,100.50","2,074.25","2,107.75","2,060.50",644.41K,1.25%
"Mar 19, 2015","2,090.50","2,101.00","2,107.25","2,085.00",341.01K,-0.48%
"Mar 20, 2015","2,099.02","2,088.50","2,105.50","2,086.50",55.07K,0.41%
"Mar 23, 2015","2,094.75","2,097.75","2,107.00","2,093.25",957.58K,-0.20%
"Mar 24, 2015","2,085.00","2,094.00","2,101.00","2,083.00",1.19M,-0.47%
"Mar 25, 2015","2,053.75","2,085.25","2,089.25","2,052.25",1.78M,-1.50%
"Mar 26, 2015","2,048.50","2,056.00","2,058.75","2,033.25",1.84M,-0.26%
"Mar 27, 2015","2,052.50","2,050.00","2,057.75","2,041.00",1.16M,0.20%
"Mar 30, 2015","2,075.50","2,052.75","2,081.75","2,047.25",1.24M,1.12%
"Mar 31, 2015","2,060.75","2,074.75","2,076.75","2,056.25",1.60M,-0.71%
"Apr 01, 2015","2,053.00","2,058.00","2,060.75","2,033.50",1.82M,-0.38%
"Apr 02, 2015","2,059.50","2,055.25","2,064.75","2,044.00",1.05M,0.32%
"Apr 03, 2015","2,059.50","2,060.00","2,063.75","2,038.00",95.92K,0.00%
"Apr 06, 2015","2,073.25","2,039.50","2,080.00","2,038.75",948.45K,0.67%
"Apr 07, 2015","2,067.75","2,071.50","2,082.75","2,066.00",1.05M,-0.27%
"Apr 08, 2015","2,076.00","2,068.50","2,080.25","2,064.50",1.22M,0.40%
"Apr 09, 2015","2,085.75","2,077.75","2,087.00","2,066.75",1.21M,0.47%
"Apr 10, 2015","2,095.50","2,086.00","2,096.25","2,083.00",880.53K,0.47%
"Apr 13, 2015","2,086.50","2,095.25","2,101.25","2,085.25",1.08M,-0.43%
"Apr 14, 2015","2,091.00","2,087.00","2,092.75","2,075.75",1.27M,0.22%
"Apr 15, 2015","2,099.75","2,091.75","2,105.50","2,087.25",1.05M,0.42%
"Apr 16, 2015","2,100.75","2,101.50","2,104.75","2,089.00",1.11M,0.05%
"Apr 17, 2015","2,075.50","2,101.25","2,101.75","2,064.50",1.82M,-1.20%
"Apr 20, 2015","2,091.00","2,081.00","2,097.50","2,078.50",1.12M,0.75%
"Apr 21, 2015","2,091.00","2,089.50","2,105.25","2,087.25",1.05M,0.00%
"Apr 22, 2015","2,100.25","2,092.00","2,103.75","2,080.25",1.19M,0.44%
"Apr 23, 2015","2,107.00","2,099.25","2,114.50","2,087.50",1.36M,0.32%
"Apr 24, 2015","2,111.75","2,107.50","2,114.75","2,103.00",958.31K,0.23%
"Apr 27, 2015","2,104.75","2,113.25","2,119.75","2,100.25",1.21M,-0.33%
"Apr 28, 2015","2,112.00","2,103.75","2,112.50","2,088.25",1.48M,0.34%
"Apr 29, 2015","2,099.00","2,110.75","2,112.50","2,090.50",1.74M,-0.62%
"Apr 30, 2015","2,079.00","2,098.25","2,102.00","2,070.25",2.03M,-0.95%
"May 01, 2015","2,101.50","2,082.75","2,102.50","2,080.50",1.02M,1.08%
"May 04, 2015","2,109.25","2,101.75","2,115.00","2,098.00",1.00M,0.37%
"May 05, 2015","2,084.00","2,109.50","2,111.75","2,081.50",1.59M,-1.20%
"May 06, 2015","2,074.25","2,085.50","2,093.75","2,061.25",1.76M,-0.47%
"May 07, 2015","2,084.25","2,074.75","2,088.25","2,057.00",1.44M,0.48%
"May 08, 2015","2,108.50","2,085.25","2,113.50","2,084.00",1.38M,1.16%
"May 11, 2015","2,097.75","2,110.00","2,113.50","2,095.75",1.15M,-0.51%
"May 12, 2015","2,095.00","2,097.75","2,101.00","2,079.25",1.48M,-0.13%
"May 13, 2015","2,094.50","2,096.25","2,106.50","2,091.50",1.34M,-0.02%
"May 14, 2015","2,117.50","2,096.00","2,118.25","2,092.00",1.10M,1.10%
"May 15, 2015","2,119.00","2,117.25","2,122.75","2,113.25",1.02M,0.07%
"May 18, 2015","2,126.00","2,119.25","2,128.75","2,112.25",917.10K,0.33%
"May 19, 2015","2,124.50","2,126.75","2,134.00","2,121.25",1.00M,-0.07%
"May 20, 2015","2,122.50","2,124.25","2,132.25","2,119.25",1.01M,-0.09%
"May 21, 2015","2,128.00","2,120.75","2,132.00","2,115.00",794.48K,0.26%
"May 22, 2015","2,124.50","2,129.25","2,131.00","2,122.75",765.94K,-0.16%
"May 24, 2015","2,124.95","2,124.45","2,126.15","2,123.65",-,0.02%
"May 25, 2015","2,122.45","2,125.15","2,126.95","2,118.65",-,-0.12%
"May 26, 2015","2,105.00","2,124.50","2,127.00","2,096.00",1.59M,-0.82%
"May 27, 2015","2,121.00","2,105.75","2,124.25","2,101.25",1.29M,0.76%
"May 28, 2015","2,121.75","2,120.00","2,122.75","2,110.50",1.08M,0.04%
"May 29, 2015","2,106.00","2,121.75","2,122.75","2,102.25",1.69M,-0.74%
"Jun 01, 2015","2,109.25","2,107.00","2,117.75","2,100.25",1.34M,0.15%
"Jun 02, 2015","2,106.75","2,111.00","2,116.00","2,094.00",1.44M,-0.12%
"Jun 03, 2015","2,116.00","2,107.00","2,120.75","2,106.75",1.31M,0.44%
"Jun 04, 2015","2,099.00","2,116.25","2,116.50","2,091.25",1.72M,-0.80%
"Jun 05, 2015","2,092.25","2,098.75","2,102.75","2,083.50",1.46M,-0.32%
"Jun 08, 2015","2,078.25","2,092.00","2,093.25","2,076.25",1.29M,-0.67%
"Jun 09, 2015","2,080.00","2,080.00","2,084.75","2,068.75",1.45M,0.08%
"Jun 10, 2015","2,107.00","2,080.75","2,108.00","2,080.00",1.67M,1.30%
"Jun 11, 2015","2,109.25","2,106.00","2,114.75","2,103.25",1.48M,0.11%
"Jun 12, 2015","2,093.00","2,109.00","2,109.25","2,090.25",1.13M,-0.77%
"Jun 15, 2015","2,084.00","2,087.00","2,089.75","2,071.25",1.08M,-0.43%
"Jun 16, 2015","2,097.50","2,083.50","2,098.25","2,070.50",795.76K,0.65%
"Jun 17, 2015","2,097.50","2,097.75","2,107.00","2,087.00",550.65K,0.00%
"Jun 18, 2015","2,123.00","2,097.25","2,127.50","2,090.50",430.53K,1.22%
"Jun 19, 2015","2,117.11","2,123.25","2,126.50","2,118.25",-,-0.28%
"Jun 22, 2015","2,112.75","2,105.75","2,122.00","2,103.50",1.10M,-0.21%
"Jun 23, 2015","2,116.50","2,114.75","2,120.50","2,111.25",837.13K,0.18%
"Jun 24, 2015","2,099.50","2,117.50","2,118.50","2,099.00",1.16M,-0.80%
"Jun 25, 2015","2,094.00","2,101.25","2,112.75","2,092.00",1.22M,-0.26%
"Jun 26, 2015","2,095.75","2,094.75","2,100.75","2,086.25",1.32M,0.08%
"Jun 29, 2015","2,050.50","2,064.00","2,083.25","2,047.25",2.29M,-2.16%
"Jun 30, 2015","2,054.50","2,054.50","2,069.00","2,046.75",2.38M,0.20%
